Razao;Codigo;Setor;Pais de Origem
DR HORTON IN;D1HI34;Construção;EUA
DR REDDYS LABORATORIES LTD;R1DY34;Farmacêutico;India
DTE ENERGY CO;D1TE34;Energia;EUA
DUKE REALTY CORP;D1RE34;Fundo de investimento imobiliário;EUA
DXC TECHNOLO;D1XC34;Tecnologia;EUA
EASTMAN CHEMICAL CO;E1MN34;Químicos;EUA
EATON CORP PLC;E1TN34;Energia;EUA
EBAY;EBAY34;Catálogos e entregas domiciliares;EUA
ECOLAB INC;E1CL34;Tecnologias e serviços de água;EUA
ECOPETROL SA;E1CO34;Energia;Colombia
EDISON INTER;E1IX34;Serviços;EUA
EDWARDS LIFESCIENCES CORP;E1WL34;Equipamentos Médicos;EUA
ELASTIC NV;E2ST34;Internet;Holanda
ELECTR ARTS;EAIN34;Tecnologia;EUA
EMERSON ELECTRIC CO;E1MR34;Eletroeletrônicos;EUA
ENEL AMERICAS SA;E1NI34;Utilidades;Chile
ENTERGY CORP;E1TR34;Energia;EUA
ENTERPRISE PRODUCTS PARTNERS;E2PD34;Energia;EUA
EOG RESOURCE;E1OG34;"Petróleo, Gás e Biocombustíveis";EUA
EQUIFAX INC;E1FX34;Serviços Financeiros ;EUA
EQUINIX INC;EQIX34;Serviços Financeiros ;EUA
EQUINOR ASA;E1QN34;Energia;Norway
EQUITY RESIDENTIAL;E1QR34;Fundo de investimento imobiliário;EUA
ERICSSON LM TELEPHONE CO;E1RI34;Comunicação;Sweden
ESSEX PROPERTY TRUST INC;E1SS34;Fundo de investimento imobiliário;EUA
ESTEE LAUDER;ELCI34;Comércio – Produtos de higiene pessoal;EUA
ETSY;E2TS34;Comércio eletrônico;EUA
EURONET WORLDWIDE;E2EF34;Meios de pagamento;EUA
EVEREST RE GROUP LTD;E1VE34;Seguros;EUA
EVERGY INC;E1VR34;Energia;EUA
EVERSOURCE ENERGY;E1SE34;Energia;EUA
EXELON CORP;E1XC34monde;Energia;EUA
EXPEDIA GROU;EXGR34;Comunicação ;EUA
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;E1XP34;Logística;EUA
EXTRA SPACE STORAGE INC;E1XR34;Fundo de investimento imobiliário;EUA
EXXON MOBIL;EXXO34;Combustível & Gás Integrados;EUA
F5 NETWORKS INC;F1FI34;Tecnologia;EUA
FACEBOOK;FBOK34;Tecnologia;EUA
FASTENAL;FASL34;Comércio e Distribuição ;EUA
FASTLY INC;F1SL34;Tecnologia;EUA
FEDERAL REALTY INVESTMENT TRUST;F1RI34;Fundo de investimento imobiliário;EUA
FIDELITY NAT;F1NI34;Tecnologia;EUA
FIFTH THIRD;FFTD34;Serviços Financeiros ;EUA
FIRST REPUBLIC BANK;F1RC34;Serviços Financeiros ;EUA
FIRST SOLAR;FSLR34;Bens Industriais;EUA
FIRSTENERGY ;F1EC34;Energia;EUA
FISERV INC;F1IS34;Instituição Financeira;EUA
FIVERR INTERNATIONAL;F2VR34;Serviços freelance;ISRAEL
FLEETCOR TEC;FLTC34;Serviços Financeiros ;EUA
FLIR SYSTEMS INC;F1LI34;Câmeras e sensores de imagem;EUA
FLOWSERVE CORP;F1LS34;Industria diversificada;EUA
FMC CORP;F1MC34;Químicos;EUA
FORD MOTORS;FDMO34;Automóveis;EUA
FORTINET INC;F1TN34;Tecnologia;EUA
FORTIVE CORP;F1TV34;Automação industrial;EUA
FORTUNE BRANDS HOME & SECURITY INC;F1BH34;Utensilios domésticos;EUA
FOX CORP;FOXC34;Comunicação;EUA
FRANCO-NEVADA;F2NV34;Royalties e streaming;Canadá
FRANKLIN RESOURCES INC;F1RA34;Serviços Financeiros ;EUA
FREEPORT;FCXO34;Metais não ferrosos;EUA
FRESENIUS;FMSC34;Saúde;Alemanha
GALAPAGOS NV;G1LP34;Farmacêutico;Belgium
GAP;GPSI34;"Tecidos, Vestuário e Calçados";EUA
GARMIN LTD;G1RM34;Tecnologia;EUA
GARTNER INC;G1AR34;Consultoria;EUA
GDS HOLDINGS LTD;G1DS34;Comunicação;China
GE;GEOO34;Máquinas diversas;EUA
GENERAL MILLS INC;G1MI34;Alimentos;EUA
GENERAL MOTORS;GMCO34;Automóveis e Motocicletas;EUA
GENUINE PARTS CO;G1PC34;Serviços;EUA
GEOPARK LTD;GPRK34;Energia;Chile
GILEAD;GILD34;Medicamentos e Outros Produtos;EUA
GLAXOSMITHKLINE PLC;G1SK34;Farmacêutico;Reino Unido
GLOBAL PAYMENTS INC;G1PI34;Tecnologia;EUA
GLOBE LIFE INC;G1LL34;Serviços Financeiros ;EUA
GODADDY;G2DD34;Hospedagem de sites;EUA
GOLD FIELDS LTD;G1FI34;Mineração;África do Sul
GOLDMANSACHS;GSGI34;Serviços de investimentos;EUA
GOPRO;GPRO34;Computadores e Equipamentos;EUA
H&R BLOCK INC;H1RB34;Serviços Financeiros ;EUA
HALLIBURTON;HALI34;Equipamentos e Serviços de Combustível;EUA
HANESBRANDS INC;H1BI34;Roupas e Calçados;EUA
HANOVER INSU;THGI34;Serviços Financeiros ;EUA
HARLEY-DAVIDSON INC;H1OG34;Motocicletas;EUA
HARTFORD FINANCIAL SERVICES GROUP INC;H1IG34;Serviços Financeiros ;EUA
HASBRO INC;H1AS34;Brinquedos;EUA
HCA HEALTHCA;H1CA34;Saúde;EUA
HDFC BANK LTD;H1DB34;Financeiro;India
HEALTHPEAK PROPERTIES INC;P1EA34;Imobiliário;EUA
HEICO CORPORATION;H1EI34;Aeroespacial;EUA
HENRY SCHEIN INC;H1SI34;Saúde;EUA
HERSHEY CO;HSHY34;Consumo;EUA
HESS CORP;H1ES34;"Petróleo, Gás e Biocombustíveis";EUA
HEWLETT PACK;H1PE34;Tecnologia;EUA
HILTON WORLD;H1LT34;Hóteis;EUA
